t(s) 	 theta(deg.) 	 omega (rds/s) 
0	180.994291552	-0.00996312134478
0.01	180.982842073	-0.0199831108255
0.02	180.965586211	-0.0301171608731
0.03	180.942425472	-0.040423114343
0.04	180.913227661	-0.0509597943208
0.05	180.877826123	-0.0617873394686
0.06	180.836018798	-0.072967546802
0.07	180.787567067	-0.0845642238278
0.08	180.732194391	-0.0966435520202
0.09	180.669584735	-0.109274463671
0.1	180.59938077	-0.122529034213
0.11	180.521181833	-0.136482892203
0.12	180.434541648	-0.151215649221
0.13	180.338965783	-0.16681135205
0.14	180.233908838	-0.183358959596
0.15	180.118771338	-0.200952847135
0.16	179.992896326	-0.219693340564
0.17	179.855565628	-0.239687283482
0.18	179.705995775	-0.26104864006
0.19	179.543333552	-0.283899136753
0.2	179.36665116	-0.308368946084
0.21	179.174940963	-0.334597415828
0.22	178.967109777	-0.362733847026
0.23	178.741972701	-0.392938324398
0.24	178.498246423	-0.425382602753
0.25	178.234541995	-0.460251053053
0.26	177.949357024	-0.497741671757
0.27	177.641067252	-0.538067157012
0.28	177.307917473	-0.581456055037
0.29	176.948011753	-0.628153979784
0.3	176.559302914	-0.678424908494
0.31	176.139581217	-0.732552555078
0.32	175.68646223	-0.790841822371
0.33	175.197373806	-0.853620333007
0.34	174.669542146	-0.921240036998
0.35	174.099976896	-0.99407889187
0.36	173.485455248	-1.0725426083
0.37	172.822505005	-1.15706645047
0.38	172.107386598	-1.2481170754
0.39	171.336074029	-1.34619438966
0.4	170.504234768	-1.45183339369
0.41	169.607208621	-1.56560597438
0.42	168.639985622	-1.68812259418
0.43	167.597183063	-1.82003380947
0.44	166.473021803	-1.96203153196
0.45	165.261302054	-2.1148499232
0.46	163.955378956	-2.27926578324
0.47	162.548138313	-2.45609825913
0.48	161.031973009	-2.64620765637
0.49	159.398760776	-2.85049308477
0.5	157.639844167	-3.0698886097
0.51	155.746013817	-3.30535750823
0.52	153.70749636	-3.55788414785
0.53	151.513948691	-3.82846291284
0.54	149.154460647	-4.11808350243
0.55	146.617568646	-4.42771181813
0.56	143.891283306	-4.7582655528
0.57	140.963134652	-5.11058350033
0.58	137.820239102	-5.4853875391
0.59	134.449393045	-5.88323622778
0.6	130.837198375	-6.30446902051
0.61	126.970225828	-6.74914030306
0.62	122.835222179	-7.21694282555
0.63	118.419367282	-7.70712072497
0.64	113.71058626	-8.21837325933
0.65	108.697920787	-8.74875167948
0.66	103.371961015	-9.29555338656
0.67	97.7253360898	-9.85521965624
0.68	91.753256233	-10.4232456694
0.69	85.4540928232	-10.9941141621
0.7	78.829975159	-11.561266328
0.71	71.8873738633	-12.1171251262
0.72	64.6376322131	-12.6531861715
0.73	57.0973992564	-13.1601891462
0.74	49.2889141176	-13.6283775266
0.75	41.2400911956	-14.0478460898
0.76	32.9843626558	-14.4089645171
0.77	24.5602485956	-14.7028526914
0.78	16.0106462249	-14.9218711104
0.79	7.38185547754	-15.0600809007
0.8	-1.27761371258	-15.1136248843
0.81	-9.91838206862	-15.0809857715
0.82	-18.4916011219	-14.9630899975
0.83	-26.9503169504	-14.7632441697
0.84	-35.2507061811	-14.4869121273
0.85	-43.3531086588	-14.1413600557
0.86	-51.2228050056	-13.7352112383
0.87	-58.8305148971	-13.2779586144
0.88	-66.1526187412	-12.7794820252
0.89	-73.1711278802	-12.2496093056
0.9	-79.8734442013	-11.6977487314
0.91	-86.2519584596	-11.1326075193
0.92	-92.3035383469	-10.5619993981
0.93	-98.0289538684	-9.9927351896
0.94	-103.432280728	-9.43058442553
0.95	-108.5203139	-8.88029313065
0.96	-113.302014795	-8.34564244697
0.97	-117.788007332	-7.82953399801
0.98	-121.99013141	-7.33409007513
0.99	-125.921056921	-6.8607592803
1.0	-129.593957471	-6.41042077048
1.01	-133.022240396	-5.98348247345
1.02	-136.219327973	-5.57997046962
1.03	-139.198483988	-5.19960813754
1.04	-141.972679555	-4.84188467541
1.05	-144.554492295	-4.50611329789
1.06	-146.956033339	-4.19147983439
1.07	-149.188897244	-3.89708268796
1.08	-151.264130444	-3.62196520877
1.09	-153.19221452	-3.36514153822
1.1	-154.983061101	-3.12561692414
1.11	-156.646015765	-2.90240341885
1.12	-158.189868746	-2.69453176866
1.13	-159.622870681	-2.50106019624
1.14	-160.952751947	-2.32108067476
1.15	-162.186744442	-2.15372319752
1.16	-163.331604909	-1.99815846265
1.17	-164.393639087	-1.85359931817
1.18	-165.37872614	-1.71930124983
1.19	-166.292342948	-1.59456214022
1.2	-167.139587949	-1.47872148324
1.21	-167.925204301	-1.37115920081
1.22	-168.653602211	-1.27129417816
1.23	-169.328880304	-1.17858260941
1.24	-169.954845991	-1.09251622485
1.25	-170.535034775	-1.01262045512
1.26	-171.072728493	-0.938452574509
1.27	-171.570972508	-0.86959985508
1.28	-172.032591858	-0.805677755193
1.29	-172.460206395	-0.74632815942
1.3	-172.856244954	-0.691217681706
1.31	-173.222958592	-0.64003603967
1.32	-173.562432937	-0.592494504827
1.33	-173.876599694	-0.548324431149
1.34	-174.167247354	-0.507275862557
1.35	-174.436031148	-0.469116218598
1.36	-174.684482296	-0.433629056549
1.37	-174.914016584	-0.400612907486
1.38	-175.125942319	-0.369880183335
1.39	-175.321467691	-0.341256151592
1.4	-175.501707593	-0.314577974212
1.41	-175.667689918	-0.289693807028
1.42	-175.820361373	-0.266461956067
1.43	-175.960592844	-0.244750087118
1.44	-176.089184331	-0.224434485004
1.45	-176.206869495	-0.205399359071
1.46	-176.314319818	-0.187536191545
1.47	-176.412148423	-0.170743125512
1.48	-176.500913559	-0.15492438941
1.49	-176.581121781	-0.139989755059
1.5	-176.653230826	-0.125854026376
1.51	-176.717652227	-0.112436556051
1.52	-176.774753652	-0.0996607875842
1.53	-176.824861	-0.0874538201905
1.54	-176.868260258	-0.0757459941864
1.55	-176.905199131	-0.0644704945778
1.56	-176.935888452	-0.0535629706437
1.57	-176.960503389	-0.0429611693988
1.58	-176.979184438	-0.0326045808828
1.59	-176.992038227	-0.0224340932872
1.6	-176.999138122	-0.0123916559781
1.61	-177.000524651	-0.00241994851517
1.62	-176.996205726	0.0075379462008
1.63	-176.986156695	0.0175388665002
1.64	-176.970320202	0.0276398960711
1.65	-176.948605852	0.0378986894735
1.66	-176.920889706	0.0483738008809
1.67	-176.887013566	0.0591250179069
1.68	-176.846784078	0.0702137024
1.69	-176.799971627	0.0817031401255
1.7	-176.746309029	0.0936589013003
1.71	-176.685490009	0.106149214001
1.72	-176.617167455	0.119245352529
1.73	-176.540951439	0.133022042895
1.74	-176.456406997	0.147557887661
1.75	-176.363051653	0.162935812483
1.76	-176.260352671	0.179243536787
1.77	-176.147724025	0.196574071123
1.78	-176.024523062	0.215026243871
1.79	-175.890046854	0.234705260073
1.8	-175.743528199	0.255723295327
1.81	-175.584131267	0.278200127763
1.82	-175.41094686	0.302263811298
1.83	-175.222987257	0.328051393472
1.84	-175.019180622	0.355709681263
1.85	-174.798364946	0.385396058438
1.86	-174.559281485	0.417279358007
1.87	-174.300567668	0.451540793456
1.88	-174.020749432	0.48837495237
1.89	-173.718232955	0.527990856059
1.9	-173.391295738	0.570613088576
1.91	-173.038076999	0.616482998309
1.92	-172.656567336	0.665859974874
1.93	-172.244597616	0.719022803443
1.94	-171.799827039	0.776271097787
1.95	-171.31973034	0.837926812149
1.96	-170.801584077	0.904335830454
1.97	-170.242451966	0.975869629339
1.98	-169.639169228	1.0529270087
1.99	-168.988325911	1.13593587996
2.0	-168.286249156	1.22535509772
2.01	-167.528984409	1.32167631457
2.02	-166.712275567	1.42542583169
2.03	-165.831544091	1.53716640825
2.04	-164.88186713	1.65749898117
2.05	-163.857954747	1.78706423218
2.06	-162.75412639	1.92654392081
2.07	-161.564286778	2.07666187968
2.08	-160.281901499	2.23818454066
2.09	-158.89997266	2.411920827
2.1	-157.411015088	2.59872120538
2.11	-155.807033696	2.79947564296
2.12	-154.079502829	3.01511015592
2.13	-152.219348612	3.24658156737
2.14	-150.216935595	3.49487001329
2.15	-148.062059293	3.76096864481
2.16	-145.743946609	4.0458698763
2.17	-143.25126655	4.35054742278
2.18	-140.572154137	4.67593326408
2.19	-137.694250974	5.02288857551
2.2	-134.60476652	5.39216759062
2.21	-131.29056473	5.78437333179
2.22	-127.738281295	6.19990418941
2.23	-123.934477238	6.63889048947
